Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
0,198.47516370484448,167.14637990502214,5.015003252773551,-0.3073897230302147,0.008900000000000019,0.010000000000000009,0.0078,4000,0.00012326104635605124,0.00012326104635605124,0.00012326104635605124,0_1:0.005973782561675911,0_1:460
1,236.4780222144934,297.3956487838141,4.95583634699754,-0.307753992139621,0.012699999999999934,0.01539999999999997,0.01,4000,0.00029717859164099595,0.00029717859164099595,0.00029717859164099595,undefined,undefined
2,248.08012539722768,112.82063198046545,4.8066555004087475,-0.31037869033292903,0.005900000000000016,0.008000000000000007,0.0038,4000,0.0001148313854441338,0.0001148313854441338,0.0001148313854441338,2_1:0.0058690191369911715,2_1:460
3,153.56997184453996,142.0300956945916,5.232283914753873,-0.3037265291936018,0.061799999999999966,0.0628,0.060799999999999965,4000,0.0003159975077024883,0.0003159975077024883,0.0003159975077024883,3_2:0.011398324781292268,3_2:940
4,236.1638079638058,215.7580042295053,5.138314624581538,-0.30539509166825984,0.00869999999999993,0.008000000000000007,0.0094,4000,0.00014645148624868555,0.00014645148624868555,0.00014645148624868555,4_3:0.016574828274274922; 4_15:0.004805977706946768,4_3:460; 4_15:460
5,227.2372090961496,202.03638901557463,4.988050679235074,-0.3075531678616803,0.01540000000000008,0.010000000000000009,0.0208,4000,0.00013808612222950478,0.00013808612222950478,0.00013808612222950478,5_4:0.0046773702147646645; 5_6:0.004966116452208014,5_4:460; 5_6:460
6,285.94411165921883,145.97422928316993,4.898885272615134,-0.30753844283129655,0.014100000000000001,0.015000000000000013,0.0132,4000,0.0002543497387212388,0.0002543497387212388,0.0002543497387212388,undefined,undefined
7,211.53205115918905,162.76986141333114,5.022888998995247,-0.3068078211557421,0.03760000000000008,0.0342,0.041000000000000036,4000,0.00019198328285567102,0.00019198328285567102,0.00019198328285567102,7_6:0.005665286742348147,7_6:460
8,178.45441115092933,109.2070446838249,5.111756726432637,-0.3057127715447243,0.02300000000000002,0.0258,0.020199999999999996,4000,0.00027234355475105925,0.00027234355475105925,0.00027234355475105925,8_7:0.007204243379259928,8_7:460
9,166.19314614967465,33.21113697443356,5.153257994283326,-0.3057355730459039,0.020199999999999996,0.02400000000000002,0.0164,4000,0.0006255639339642903,0.0006255639339642903,0.0006255639339642903,9_8:0.010857330926392045,9_8:460
10,192.09780597540774,118.29205738083598,4.997018381780375,-0.30693756037597947,0.009400000000000075,0.01,0.00880000000000003,4000,0.00019492549460117011,0.00019492549460117011,0.00019492549460117011,10_9:0.009147980256465016,10_9:460
11,194.62989235797778,33.13292769822478,5.174536741110008,-0.3039492480369073,0.018100000000000005,0.0238,0.012399999999999967,4000,0.0005028595834744089,0.0005028595834744089,0.0005028595834744089,11_10:0.014033329977780729; 11_12:0.012733349403858257,11_10:460; 11_12:460
12,313.8940059381824,22.691683158722228,4.935413193299662,-0.30846168737112517,0.04059999999999997,0.046,0.03520000000000001,4000,0.0002104815121120791,0.0002104815121120791,0.0002104815121120791,12_17:0.016707245164959195,12_17:940
13,120.00647715964034,57.52041419772543,5.168679932531131,-0.3044389397788277,0.008199999999999985,0.009800000000000031,0.0066,4000,0.0002830138196449796,0.0002830138196449796,0.0002830138196449796,13_12:0.007927676760242669,13_12:460
14,224.71026204572874,99.74720434983004,4.930150960332631,-0.3079761596005233,0.012199999999999989,0.013,0.011399999999999966,4000,0.00017086684937717516,0.00017086684937717516,0.00017086684937717516,14_0:0.004658284449891553,14_0:460
15,183.70090134611598,59.38706050110856,5.015151250019839,-0.3069916034117212,0.019399999999999973,0.022399999999999975,0.0164,4000,0.00014604233880959118,0.00014604233880959118,0.00014604233880959118,undefined,undefined
16,74.57000737631196,24.550581639874487,5.2791928626829465,-0.3023502001385665,0.014000000000000012,0.013599999999999945,0.0144,4000,0.0006864471324264486,0.0006864471324264486,0.0006864471324264486,16_8:0.013020859476604696,16_8:460
17,33.86557531471266,124.24854186493295,5.39551981119907,-0.2997888060723667,0.04920000000000002,0.03820000000000001,0.0602,4000,0.00027798601235029676,0.00027798601235029676,0.00027798601235029676,17_30:0.013512587869511539,17_30:940
18,201.62653010439848,31.928207665231106,5.058555577957217,-0.306808337131999,0.028699999999999948,0.036599999999999966,0.0208,4000,0.0002096833278479046,0.0002096833278479046,0.0002096833278479046,18_14:0.003851064612351268; 18_19:0.01796166484324574,18_14:460; 18_19:460
19,230.59004365065516,230.8502705924627,4.958141725361104,-0.30800402608638516,0.009600000000000053,0.01200000000000001,0.0072,4000,0.0001311379033512751,0.0001311379033512751,0.0001311379033512751,undefined,undefined
20,121.04676802141525,131.89093189219415,5.04406513805836,-0.3058713864428892,0.011400000000000077,0.0118,0.01100000000000001,4000,0.0001801035586203654,0.0001801035586203654,0.0001801035586203654,20_33:0.006061849881778214; 20_19:0.005748745874814359,20_33:460; 20_19:460
21,252.40994041221205,250.1335663542443,5.159926188221833,-0.30320238859472054,0.07820000000000005,0.0622,0.09419999999999995,4000,0.0002684572293515624,0.0002684572293515624,0.0002684572293515624,21_22:0.01295345780768059; 21_20:0.011883336008883888,21_22:460; 21_20:460
22,94.9043071895497,92.2414926010966,5.282251664698324,-0.3029991140570705,0.011700000000000044,0.012199999999999989,0.0112,4000,0.0005654592800189897,0.0005654592800189897,0.0005654592800189897,22_15:0.010554801709198758,22_15:460
23,260.6209530843289,102.37576762933212,5.162789695666626,-0.3051589949103431,0.06519999999999992,0.0796,0.050799999999999956,4000,0.0006685784656671723,0.0006685784656671723,0.0006685784656671723,23_24:0.008088332104281226; 23_22:0.014290971698336319,23_24:460; 23_22:460
24,213.45225136812425,157.6855638544528,5.079776768232893,-0.3049082887390848,0.04530000000000001,0.0496,0.041000000000000036,4000,0.0006991419681600395,0.0006991419681600395,0.0006991419681600395,undefined,undefined
