#time	operator	index_1	index_2	index_3	value
0	XZZ	1	5	3	0.000196861229508187
0	XZZ	3	1	7	0.00100199755015096
0	XZZ	7	3	11	0.000572368140829906
0	XZZ	11	7	15	0.00114880961621205
0	XZZ	15	11	19	0.000467263870636529
0	XZZ	19	15	23	0.000229551382615175
0	XZZ	23	19	21	3.2553776156766e-05
0	XZZ	21	23	17	0.000139856151841396
0	XZZ	17	21	13	-2.57937473029342e-05
0	XZZ	13	17	9	0.00105928857000659
0	XZZ	9	13	5	-0.000128255266999903
0	XZZ	5	9	1	0.00147965249033459

0.05	XZZ	1	5	3	4.09225940970209e-05
0.05	XZZ	3	1	7	0.000872672599240165
0.05	XZZ	7	3	11	0.000444266239116666
0.05	XZZ	11	7	15	0.00109491622578242
0.05	XZZ	15	11	19	0.000223288329317029
0.05	XZZ	19	15	23	6.02722991856148e-05
0.05	XZZ	23	19	21	-5.4100662759886e-05
0.05	XZZ	21	23	17	3.60885033690051e-05
0.05	XZZ	17	21	13	-9.67164581989213e-05
0.05	XZZ	13	17	9	0.00095921625367667
0.05	XZZ	9	13	5	-0.000682351792644518
0.05	XZZ	5	9	1	0.000883974264703305

0.1	XZZ	1	5	3	-0.000397249390508374
0.1	XZZ	3	1	7	0.000494970545273333
0.1	XZZ	7	3	11	9.65128676435011e-05
0.1	XZZ	11	7	15	0.000842229451636084
0.1	XZZ	15	11	19	-0.000394791388819882
0.1	XZZ	19	15	23	-0.000419600041418006
0.1	XZZ	23	19	21	-0.000339966232217796
0.1	XZZ	21	23	17	-0.000260669949946054
0.1	XZZ	17	21	13	-0.000337421053097424
0.1	XZZ	13	17	9	0.000632819384740245
0.1	XZZ	9	13	5	-0.00231687847626395
0.1	XZZ	5	9	1	-0.000878512043950657

0.15	XZZ	1	5	3	0.00111442373962069
0.15	XZZ	3	1	7	0.000129146317689174
0.15	XZZ	7	3	11	0.000473323315524696
0.15	XZZ	11	7	15	-0.000376272948576074
0.15	XZZ	15	11	19	-0.00138142953077318
0.15	XZZ	19	15	23	-0.00120427564199546
0.15	XZZ	23	19	21	0.000829571574614751
0.15	XZZ	21	23	17	0.000748923913922494
0.15	XZZ	17	21	13	-0.000752286895612035
0.15	XZZ	13	17	9	7.35226551268562e-05
0.15	XZZ	9	13	5	0.00498825293638191
0.15	XZZ	5	9	1	0.00375908194418794

0.2	XZZ	1	5	3	0.000963197574078931
0.2	XZZ	3	1	7	-2.25013519821719e-05
0.2	XZZ	7	3	11	0.000305008564409745
0.2	XZZ	11	7	15	-0.000424290074323357
0.2	XZZ	15	11	19	-0.00045236943197201
0.2	XZZ	19	15	23	-0.000457365826758809
0.2	XZZ	23	19	21	0.000697556594758709
0.2	XZZ	21	23	17	0.000640971467479936
0.2	XZZ	17	21	13	-0.000336833793856892
0.2	XZZ	13	17	9	0.000584257381053998
0.2	XZZ	9	13	5	0.00429932778141163
0.2	XZZ	5	9	1	0.00371165242433527

0.25	XZZ	1	5	3	-0.000533887775647677
0.25	XZZ	3	1	7	0.000400814111803797
0.25	XZZ	7	3	11	8.05020128565696e-05
0.25	XZZ	11	7	15	0.00065725719782404
0.25	XZZ	15	11	19	0.000101277867297571
0.25	XZZ	19	15	23	1.68979940786716e-05
0.25	XZZ	23	19	21	-0.000364993988831868
0.25	XZZ	21	23	17	-0.000343524376989543
0.25	XZZ	17	21	13	-9.63956912263856e-05
0.25	XZZ	13	17	9	0.000860779318528628
0.25	XZZ	9	13	5	-0.00253598491016659
0.25	XZZ	5	9	1	-0.00284050363821966

0.3	XZZ	1	5	3	-0.0014015296556164
0.3	XZZ	3	1	7	-0.000302380930273523
0.3	XZZ	7	3	11	-0.000589088344132934
0.3	XZZ	11	7	15	0.000107634125285049
0.3	XZZ	15	11	19	-0.000251276070580827
0.3	XZZ	19	15	23	-0.000429266972587874
0.3	XZZ	23	19	21	-0.00103474428352314
0.3	XZZ	21	23	17	-0.000953830603976682
0.3	XZZ	17	21	13	-0.000337629571005853
0.3	XZZ	13	17	9	0.000605930680366479
0.3	XZZ	9	13	5	-0.00625448531570605
0.3	XZZ	5	9	1	-0.00608321410895802

0.35	XZZ	1	5	3	-0.00250860743660759
0.35	XZZ	3	1	7	-0.00119776625964685
0.35	XZZ	7	3	11	-0.00141329207229536
0.35	XZZ	11	7	15	-0.000599095417966798
0.35	XZZ	15	11	19	-0.000777521436399014
0.35	XZZ	19	15	23	-0.00114058039634055
0.35	XZZ	23	19	21	-0.0018969041969717
0.35	XZZ	21	23	17	-0.00173438683013907
0.35	XZZ	17	21	13	-0.000752863590696073
0.35	XZZ	13	17	9	0.000144438447156192
0.35	XZZ	9	13	5	-0.0110181410130943
0.35	XZZ	5	9	1	-0.0100781707964268

0.4	XZZ	1	5	3	0.00385175995867029
0.4	XZZ	3	1	7	0.00228256878421955
0.4	XZZ	7	3	11	0.00239091623723396
0.4	XZZ	11	7	15	0.00146012508163667
0.4	XZZ	15	11	19	-0.0014730825327061
0.4	XZZ	19	15	23	-0.00211325519092052
0.4	XZZ	23	19	21	0.00294830515337776
0.4	XZZ	21	23	17	0.0026828303897876
0.4	XZZ	17	21	13	-0.00134111301361977
0.4	XZZ	13	17	9	-0.000522223016076605
0.4	XZZ	9	13	5	0.0167881196896029
0.4	XZZ	5	9	1	0.0147853012183425

0.45	XZZ	1	5	3	0.00327332393235476
0.45	XZZ	3	1	7	0.00181462669846425
0.45	XZZ	7	3	11	0.00182529131981402
0.45	XZZ	11	7	15	0.000948729826174098
0.45	XZZ	15	11	19	-0.000713199567107957
0.45	XZZ	19	15	23	-0.00106831775744737
0.45	XZZ	23	19	21	0.00243096368541544
0.45	XZZ	21	23	17	0.00226037155656936
0.45	XZZ	17	21	13	-0.000748901000262307
0.45	XZZ	13	17	9	0.000193190094629449
0.45	XZZ	9	13	5	0.0141121293467647
0.45	XZZ	5	9	1	0.0117463539710461

0.5	XZZ	1	5	3	0.00244713092153214
0.5	XZZ	3	1	7	0.00113088621530781
0.5	XZZ	7	3	11	0.00110170383571384
0.5	XZZ	11	7	15	0.000255890175237421
0.5	XZZ	15	11	19	-0.000127478403346731
0.5	XZZ	19	15	23	-0.000337637651886427
0.5	XZZ	23	19	21	0.0017127167313417
0.5	XZZ	21	23	17	0.00166086157684295
0.5	XZZ	17	21	13	-0.000333615001501874
0.5	XZZ	13	17	9	0.000699427474206885
0.5	XZZ	9	13	5	0.0104315669001267
0.5	XZZ	5	9	1	0.00769521479035812

0.55	XZZ	1	5	3	-0.00156782662764899
0.55	XZZ	3	1	7	-0.0281399334513053
0.55	XZZ	7	3	11	-0.0983015129803759
0.55	XZZ	11	7	15	-0.0441122116030304
0.55	XZZ	15	11	19	-0.00415515720432299
0.55	XZZ	19	15	23	-0.0344029532961394
0.55	XZZ	23	19	21	-0.00642948984818893
0.55	XZZ	21	23	17	-0.00440732674565868
0.55	XZZ	17	21	13	0.00377874939189701
0.55	XZZ	13	17	9	-0.0210884477219856
0.55	XZZ	9	13	5	-0.0524233150434426
0.55	XZZ	5	9	1	-0.0778539632348773

0.6	XZZ	1	5	3	0.0022039611182616
0.6	XZZ	3	1	7	-0.0249174450713597
0.6	XZZ	7	3	11	-0.0956665463840461
0.6	XZZ	11	7	15	-0.0428421306160758
0.6	XZZ	15	11	19	-0.00202161117129736
0.6	XZZ	19	15	23	-0.0334642053065445
0.6	XZZ	23	19	21	-0.0039211739828301
0.6	XZZ	21	23	17	-0.0017018896362421
0.6	XZZ	17	21	13	0.00406688651444864
0.6	XZZ	13	17	9	-0.0208358284803602
0.6	XZZ	9	13	5	-0.0258885595474512
0.6	XZZ	5	9	1	-0.0501880815583184

0.65	XZZ	1	5	3	0.00648156064414922
0.65	XZZ	3	1	7	-0.0212221457949471
0.65	XZZ	7	3	11	-0.0926173168729995
0.65	XZZ	11	7	15	-0.0411699204269566
0.65	XZZ	15	11	19	0.00112673276872895
0.65	XZZ	19	15	23	-0.0318312231037772
0.65	XZZ	23	19	21	-0.00106816046850655
0.65	XZZ	21	23	17	0.00136836067068692
0.65	XZZ	17	21	13	0.00466962456369494
0.65	XZZ	13	17	9	-0.0204035811492931
0.65	XZZ	9	13	5	0.00483933054744003
0.65	XZZ	5	9	1	-0.0180214851759544

0.7	XZZ	1	5	3	-0.0112571928668844
0.7	XZZ	3	1	7	-0.0170598594395736
0.7	XZZ	7	3	11	-0.0891581891353508
0.7	XZZ	11	7	15	-0.0390986504133754
0.7	XZZ	15	11	19	0.0052743964119716
0.7	XZZ	19	15	23	0.0295137216329506
0.7	XZZ	23	19	21	-0.0021243865841955
0.7	XZZ	21	23	17	-0.00479875031798838
0.7	XZZ	17	21	13	-0.00558513777146699
0.7	XZZ	13	17	9	0.0197929838776339
0.7	XZZ	9	13	5	-0.0394488563369134
0.7	XZZ	5	9	1	-0.0182997756619775

0.75	XZZ	1	5	3	-0.0131951916594802
0.75	XZZ	3	1	7	-0.0205610265529555
0.75	XZZ	7	3	11	-0.0875098389202635
0.75	XZZ	11	7	15	-0.0407121365528083
0.75	XZZ	15	11	19	0.00410867845704337
0.75	XZZ	19	15	23	0.0303916569443919
0.75	XZZ	23	19	21	0.000324048822184713
0.75	XZZ	21	23	17	-0.00619874894864291
0.75	XZZ	17	21	13	-0.00551689878770702
0.75	XZZ	13	17	9	0.0197572600323571
0.75	XZZ	9	13	5	-0.00512048253705279
0.75	XZZ	5	9	1	-0.0439633889900542

0.8	XZZ	1	5	3	0.0146066722064081
0.8	XZZ	3	1	7	-0.0235804361810219
0.8	XZZ	7	3	11	-0.0861818369171058
0.8	XZZ	11	7	15	-0.0419176895337835
0.8	XZZ	15	11	19	0.00199468773547854
0.8	XZZ	19	15	23	-0.0305745657482242
0.8	XZZ	23	19	21	-0.00241053888168668
