#time	observable	value
0 	ideal_proj	2.09932542311049e-07

0.05 	ideal_proj	2.08545959731013e-07

0.1 	ideal_proj	2.01258940860102e-07

0.15 	ideal_proj	2.09895894623119e-07

0.2 	ideal_proj	2.04182722803391e-07

0.25 	ideal_proj	1.84221467969868e-07

0.3 	ideal_proj	1.94254191001e-07

0.35 	ideal_proj	1.99230299585665e-07

0.4 	ideal_proj	2.06573161771003e-07

0.45 	ideal_proj	2.1255776402869e-07

0.5 	ideal_proj	2.12989134615638e-07

0.55 	ideal_proj	3.97635094507049e-08

0.6 	ideal_proj	4.19977585666709e-08

0.65 	ideal_proj	4.50399795914665e-08

0.7 	ideal_proj	4.88861868289993e-08

0.75 	ideal_proj	4.88872611735283e-08

0.8 	ideal_proj	4.53066209721724e-08

0.85 	ideal_proj	4.07114910748031e-08

0.9 	ideal_proj	3.64521608028549e-08

0.95 	ideal_proj	5.73521099675103e-08

1 	ideal_proj	5.74144480459958e-08

1.05 	ideal_proj	5.70911498703008e-08

1.1 	ideal_proj	0.000173178005217279

1.15 	ideal_proj	0.000169329096965611

1.2 	ideal_proj	0.000164304202368734

1.25 	ideal_proj	0.000158216767382051

1.3 	ideal_proj	0.000151200147433995

1.35 	ideal_proj	0.000143403087588851

1.4 	ideal_proj	0.000134984959539455

1.45 	ideal_proj	0.000126110812622764

1.5 	ideal_proj	0.000116946355617014

1.55 	ideal_proj	0.000107653261582206

1.6 	ideal_proj	9.83848750289784e-05

1.65 	ideal_proj	8.92823388935298e-05

1.7 	ideal_proj	8.04715035692833e-05

1.75 	ideal_proj	7.20605918596883e-05

1.8 	ideal_proj	6.41384707789972e-05

1.85 	ideal_proj	5.6773887832981e-05

1.9 	ideal_proj	5.00154806009533e-05

1.95 	ideal_proj	4.38922476925555e-05

2 	ideal_proj	3.8414888003953e-05

2.05 	ideal_proj	3.35775851269045e-05

2.1 	ideal_proj	2.93600231123521e-05

2.15 	ideal_proj	2.57298544025302e-05

2.2 	ideal_proj	2.26452536052473e-05

2.25 	ideal_proj	2.00573990903651e-05

2.3 	ideal_proj	1.79129926757068e-05

2.35 	ideal_proj	1.61565671656512e-05

2.4 	ideal_proj	1.47325082445161e-05

2.45 	ideal_proj	1.35868432473324e-05

2.5 	ideal_proj	1.26686869002656e-05

2.55 	ideal_proj	1.19313213644475e-05

2.6 	ideal_proj	1.22153438907976e-05

2.65 	ideal_proj	1.23900871214502e-05

2.7 	ideal_proj	1.24496060463782e-05

2.75 	ideal_proj	1.23908429390542e-05

2.8 	ideal_proj	1.22138108298441e-05

2.85 	ideal_proj	1.19216719325862e-05

2.9 	ideal_proj	1.15206965757379e-05

2.95 	ideal_proj	1.10200898385219e-05

3 	ideal_proj	1.04317321012928e-05

3.05 	ideal_proj	9.76978272012612e-06

3.1 	ideal_proj	9.05020214989545e-06

3.15 	ideal_proj	8.29022057769542e-06

3.2 	ideal_proj	7.50774368691086e-06

3.25 	ideal_proj	6.72072408037759e-06

3.3 	ideal_proj	5.94658311682811e-06

3.35 	ideal_proj	5.20162291043858e-06

3.4 	ideal_proj	4.50050191155994e-06

3.45 	ideal_proj	3.85581333307952e-06

3.5 	ideal_proj	3.27772968046654e-06

3.55 	ideal_proj	2.77376573401011e-06

3.6 	ideal_proj	2.34866066651771e-06

3.65 	ideal_proj	2.00436431367522e-06

3.7 	ideal_proj	1.74014303984448e-06

3.75 	ideal_proj	1.55277969731736e-06

3.8 	ideal_proj	1.43686329459402e-06

3.85 	ideal_proj	1.3851481652708e-06

3.9 	ideal_proj	1.38896084977676e-06

3.95 	ideal_proj	1.43863494145091e-06

4 	ideal_proj	1.41663311591031e-06

4.05 	ideal_proj	1.44072080659383e-06

4.1 	ideal_proj	1.5189416316932e-06

4.15 	ideal_proj	1.65813173865398e-06

4.2 	ideal_proj	1.86355379413955e-06

4.25 	ideal_proj	2.13857630155018e-06

4.3 	ideal_proj	2.48441703740011e-06

4.35 	ideal_proj	2.89995988559436e-06

4.4 	ideal_proj	3.38166535922662e-06

4.45 	ideal_proj	3.92357155184314e-06

4.5 	ideal_proj	4.51740337348186e-06

4.55 	ideal_proj	5.15277283753023e-06

4.6 	ideal_proj	5.81747074841926e-06

4.65 	ideal_proj	6.49784565255747e-06

4.7 	ideal_proj	7.17923697309055e-06

4.75 	ideal_proj	7.84646470539646e-06

4.8 	ideal_proj	8.48433483089071e-06

4.85 	ideal_proj	9.07814901513606e-06

4.9 	ideal_proj	9.61421382219535e-06

4.95 	ideal_proj	1.00802699235345e-05

5 	ideal_proj	1.04659005522962e-05

5.05 	ideal_proj	1.07628484524337e-05

5.1 	ideal_proj	1.09652416863295e-05

5.15 	ideal_proj	1.10697341827591e-05

5.2 	ideal_proj	1.10755470327476e-05

5.25 	ideal_proj	1.09844067444289e-05

5.3 	ideal_proj	1.0800402853906e-05

5.35 	ideal_proj	1.05297639239219e-05

5.4 	ideal_proj	1.01805611358829e-05

5.45 	ideal_proj	1.07576866709172e-05

5.5 	ideal_proj	1.14744156860607e-05

5.55 	ideal_proj	1.23603975472343e-05

5.6 	ideal_proj	1.34461383284632e-05

5.65 	ideal_proj	1.47620039215469e-05

