#time	quantity	value
0 	tr_rho	1
0 	S_2	2.17778002138634
0 	OSEE_center	0
0 	max_bond_dim	4
0 	duration_ms	11

0.05 	tr_rho	1
0.05 	S_2	2.17921877864694
0.05 	OSEE_center	0.000541432842492195
0.05 	max_bond_dim	5
0.05 	duration_ms	18

0.1 	tr_rho	1
0.1 	S_2	2.18065667540832
0.1 	OSEE_center	0.0019080450200768
0.1 	max_bond_dim	5
0.1 	duration_ms	24

0.15 	tr_rho	1.00000000000002
0.15 	S_2	2.18209383599403
0.15 	OSEE_center	0.00395363777856339
0.15 	max_bond_dim	7
0.15 	duration_ms	31

0.2 	tr_rho	1
0.2 	S_2	2.18353038445475
0.2 	OSEE_center	0.00660012287827971
0.2 	max_bond_dim	5
0.2 	duration_ms	38

0.25 	tr_rho	1
0.25 	S_2	2.18496644446677
0.25 	OSEE_center	0.00979280811374084
0.25 	max_bond_dim	5
0.25 	duration_ms	44

0.3 	tr_rho	1.00000000000225
0.3 	S_2	2.18640213923415
0.3 	OSEE_center	0.0134893907788465
0.3 	max_bond_dim	8
0.3 	duration_ms	51

0.35 	tr_rho	1
0.35 	S_2	2.18783759139499
0.35 	OSEE_center	0.0176552932382386
0.35 	max_bond_dim	5
0.35 	duration_ms	58

0.4 	tr_rho	1
0.4 	S_2	2.18927292290524
0.4 	OSEE_center	0.0222612269273572
0.4 	max_bond_dim	6
0.4 	duration_ms	64

0.45 	tr_rho	1.00000000002023
0.45 	S_2	2.19070825496879
0.45 	OSEE_center	0.027281754748457
0.45 	max_bond_dim	8
0.45 	duration_ms	71

0.5 	tr_rho	1
0.5 	S_2	2.19214370796481
0.5 	OSEE_center	0.0326943702949247
0.5 	max_bond_dim	6
0.5 	duration_ms	78

0.55 	tr_rho	1
0.55 	S_2	2.19357940119539
0.55 	OSEE_center	0.0384788721731795
0.55 	max_bond_dim	6
0.55 	duration_ms	84

0.6 	tr_rho	1.0000000000758
0.6 	S_2	2.19501545303627
0.6 	OSEE_center	0.0446169193227752
0.6 	max_bond_dim	7
0.6 	duration_ms	91

0.65 	tr_rho	1
0.65 	S_2	2.19645198083467
0.65 	OSEE_center	0.0510917036099152
0.65 	max_bond_dim	6
0.65 	duration_ms	98

0.7 	tr_rho	1
0.7 	S_2	2.19788910025346
0.7 	OSEE_center	0.057887701781826
0.7 	max_bond_dim	6
0.7 	duration_ms	105

0.75 	tr_rho	1.00000000021626
0.75 	S_2	2.19932692609226
0.75 	OSEE_center	0.0649904830594137
0.75 	max_bond_dim	8
0.75 	duration_ms	111

0.8 	tr_rho	1
0.8 	S_2	2.20076557202705
0.8 	OSEE_center	0.0723865569007827
0.8 	max_bond_dim	5
0.8 	duration_ms	118

0.85 	tr_rho	1
0.85 	S_2	2.2022051489467
0.85 	OSEE_center	0.0800632504940193
0.85 	max_bond_dim	5
0.85 	duration_ms	125

0.9 	tr_rho	1.00000000049911
0.9 	S_2	2.20364576746539
0.9 	OSEE_center	0.0880086087269603
0.9 	max_bond_dim	9
0.9 	duration_ms	131

0.95 	tr_rho	1
0.95 	S_2	2.20508753710959
0.95 	OSEE_center	0.0962113114645917
0.95 	max_bond_dim	5
0.95 	duration_ms	139

1 	tr_rho	1
1 	S_2	2.20653056267887
1 	OSEE_center	0.104660604367285
1 	max_bond_dim	5
1 	duration_ms	145

1.05 	tr_rho	1.00000000100139
1.05 	S_2	2.2079749501585
1.05 	OSEE_center	0.113346240459095
1.05 	max_bond_dim	8
1.05 	duration_ms	152

1.1 	tr_rho	1
1.1 	S_2	2.20942080465473
1.1 	OSEE_center	0.122258430337699
1.1 	max_bond_dim	5
1.1 	duration_ms	159

1.15 	tr_rho	1
1.15 	S_2	2.21086822330965
1.15 	OSEE_center	0.131387799401013
1.15 	max_bond_dim	5
1.15 	duration_ms	166

1.2 	tr_rho	1.00000000181487
1.2 	S_2	2.21231730724803
1.2 	OSEE_center	0.140725350844747
1.2 	max_bond_dim	9
1.2 	duration_ms	172

1.25 	tr_rho	1
1.25 	S_2	2.21376815712816
1.25 	OSEE_center	0.150262433444404
1.25 	max_bond_dim	5
1.25 	duration_ms	180

1.3 	tr_rho	1
1.3 	S_2	2.2152208605609
1.3 	OSEE_center	0.159990713317144
1.3 	max_bond_dim	6
1.3 	duration_ms	188

1.35 	tr_rho	1
1.35 	S_2	2.21667551382539
1.35 	OSEE_center	0.169902149061234
1.35 	max_bond_dim	8
1.35 	duration_ms	195

1.4 	tr_rho	1
1.4 	S_2	2.21813220729019
1.4 	OSEE_center	0.179988969741442
1.4 	max_bond_dim	5
1.4 	duration_ms	203

1.45 	tr_rho	1
1.45 	S_2	2.21959102898564
1.45 	OSEE_center	0.19024365531052
1.45 	max_bond_dim	5
1.45 	duration_ms	209

1.5 	tr_rho	0.999999999999998
1.5 	S_2	2.22105206454916
1.5 	OSEE_center	0.200658919121406
1.5 	max_bond_dim	8
1.5 	duration_ms	216

1.55 	tr_rho	1
1.55 	S_2	2.22251539717319
1.55 	OSEE_center	0.211227692244668
1.55 	max_bond_dim	5
1.55 	duration_ms	224

1.6 	tr_rho	1
1.6 	S_2	2.22398110755597
1.6 	OSEE_center	0.221943109352678
1.6 	max_bond_dim	6
1.6 	duration_ms	231

1.65 	tr_rho	0.999999999999997
1.65 	S_2	2.22544927385498
