#time	operator	index	value
0	X	1	0.990556597709655
0	Y	1	-0.000943733437452446
0	Z	1	-0.0175591111183166
0	X	3	0.935261726379394
0	Y	3	0.0150457406416534
0	Z	3	-0.0287722945213314
0	X	5	0.975066125392914
0	Y	5	0.00190351612400264
0	Z	5	-0.00362282991409293

0.05	X	1	0.98983646868635
0.05	Y	1	-0.0107319799849993
0.05	Z	1	-0.0171444025637318
0.05	X	3	0.9348171001745
0.05	Y	3	-0.00221963119290479
0.05	Z	3	-0.0285814996711373
0.05	X	5	0.974611928450999
0.05	Y	5	-0.00572010664660296
0.05	Z	5	-0.00341956596353221

0.1	X	1	0.988867446424773
0.1	Y	1	-0.0205006897191435
0.1	Z	1	-0.0167298630245718
0.1	X	3	0.933824251447671
0.1	Y	3	-0.0194521152769433
0.1	Z	3	-0.0283907402054929
0.1	X	5	0.974005096128136
0.1	Y	5	-0.0133334956394942
0.1	Z	5	-0.00321634318006518

0.15	X	1	0.987650252584468
0.15	Y	1	-0.0302445164201182
0.15	Z	1	-0.0163154924319546
0.15	X	3	0.932285135215109
0.15	Y	3	-0.0366332337303592
0.15	Z	3	-0.0282000161177347
0.15	X	5	0.973245935166536
0.15	Y	5	-0.0209340579444227
0.15	Z	5	-0.0030131615553235

0.2	X	1	0.98618572634792
0.2	Y	1	-0.0399581349925984
0.2	Z	1	-0.0159012907170238
0.2	X	3	0.930202383951752
0.2	Y	3	-0.0537446107059289
0.2	Z	3	-0.0280093274010608
0.2	X	5	0.972334798294302
0.2	Y	5	-0.0285192078962156
0.2	Z	5	-0.00281002108102964

0.25	X	1	0.984474823830168
0.25	Y	1	-0.0496362441063457
0.25	Z	1	-0.0154872578109537
0.25	X	3	0.927579302482393
0.25	Y	3	-0.070767998254564
0.25	Z	3	-0.0278186740492993
0.25	X	5	0.971272084062942
0.25	Y	5	-0.0360863678904388
0.25	Z	5	-0.00260692174881006

0.3	X	1	0.982518617431869
0.3	Y	1	-0.0592735688592872
0.3	Z	1	-0.0150733936449805
0.3	X	3	0.924419861863815
0.3	Y	3	-0.0876853019425492
0.3	Z	3	-0.0276280560540149
0.3	X	5	0.97005823666558
0.3	Y	5	-0.0436329691953483
0.3	Z	5	-0.00240386355043912

0.35	X	1	0.980318295150616
0.35	Y	1	-0.0688648627736543
0.35	Z	1	-0.0146596981502312
0.35	X	3	0.920728692268551
0.35	Y	3	-0.104478606180497
0.35	Z	3	-0.0274374734127851
0.35	X	5	0.968693745750868
0.35	Y	5	-0.0511564527605914
0.35	Z	5	-0.00220084647741705

0.4	X	1	0.977875159814394
0.4	Y	1	-0.0784049111242231
0.4	Z	1	-0.0142461712580661
0.4	X	3	0.916511074897098
0.4	Y	3	-0.121130199227428
0.4	Z	3	-0.0272469261168725
0.4	X	5	0.967179146211019
0.4	Y	5	-0.0586542700211299
0.4	Z	5	-0.00199787052152614

0.45	X	1	0.975190628262245
0.45	Y	1	-0.0878885334978605
0.45	Z	1	-0.0138328129000176
0.45	X	3	0.911772932900797
0.45	Y	3	-0.137622597827088
0.45	Z	3	-0.0270564141394528
0.45	X	5	0.965515017935947
0.45	Y	5	-0.0661238836961013
0.45	Z	5	-0.00179493567333681

0.5	X	1	0.972266230493992
0.5	Y	1	-0.0973105840837928
0.5	Z	1	-0.0134196230065577
0.5	X	3	0.9065208213546
0.5	Y	3	-0.153938571439705
0.5	Z	3	-0.026865937513673
0.5	X	5	0.963701985647503
0.5	Y	5	-0.0735627685869226
0.5	Z	5	-0.00159204192708855

0.55	X	1	0.969103608781126
0.55	Y	1	-0.106665957626812
0.55	Z	1	-0.0130066015098675
0.55	X	3	0.90076191637997
0.55	Y	3	-0.170061166049814
0.55	Z	3	-0.0266754962140549
0.55	X	5	0.961740718600726
0.55	Y	5	-0.0809684123669302
0.55	Z	5	-0.00138918927221817

0.6	X	1	0.965704516580822
0.6	Y	1	-0.115949591147571
0.6	Z	1	-0.012593748341992
0.6	X	3	0.894504003167867
0.6	Y	3	-0.185973727465093
0.6	Z	3	-0.02648509015744
0.6	X	5	0.959631930206975
0.6	Y	5	-0.0883383163564938
0.6	Z	5	-0.0011863777018916

0.65	X	1	0.962070817615297
