#time	quantity	value
0 	tr_rho	0.999999999999999
0 	S_2	8.57067606704689
0 	OSEE_center	-8.88178419700125e-15
0 	max_bond_dim	3
0 	duration_ms	174

0.05 	tr_rho	0.999999999999999
0.05 	S_2	8.57903289948294
0.05 	OSEE_center	0.00120408612157341
0.05 	max_bond_dim	38
0.05 	duration_ms	3229

0.1 	tr_rho	1
0.1 	S_2	8.5873325811442
0.1 	OSEE_center	0.00451834491628311
0.1 	max_bond_dim	39
0.1 	duration_ms	9579

0.15 	tr_rho	0.9999996106616
0.15 	S_2	8.59562633634965
0.15 	OSEE_center	0.00955677905227681
0.15 	max_bond_dim	37
0.15 	duration_ms	16018

0.2 	tr_rho	1
0.2 	S_2	8.603841723566
0.2 	OSEE_center	0.00450942991976255
0.2 	max_bond_dim	48
0.2 	duration_ms	23487

0.25 	tr_rho	1
0.25 	S_2	8.61205226551919
0.25 	OSEE_center	0.00119599986705765
0.25 	max_bond_dim	50
0.25 	duration_ms	31158

0.3 	tr_rho	1.00000011325522
0.3 	S_2	8.62010777141576
0.3 	OSEE_center	0.00450435382274961
0.3 	max_bond_dim	49
0.3 	duration_ms	39148

0.35 	tr_rho	1
0.35 	S_2	8.62816341567658
0.35 	OSEE_center	0.00953758175642605
0.35 	max_bond_dim	48
0.35 	duration_ms	47760

0.4 	tr_rho	1
0.4 	S_2	8.63622077288616
0.4 	OSEE_center	0.0160819723160888
0.4 	max_bond_dim	49
0.4 	duration_ms	56386

0.45 	tr_rho	0.999999932226733
0.45 	S_2	8.64435984470464
0.45 	OSEE_center	0.0095214040829692
0.45 	max_bond_dim	49
0.45 	duration_ms	68717

0.5 	tr_rho	1
0.5 	S_2	8.6524993988026
0.5 	OSEE_center	0.00448486427226769
0.5 	max_bond_dim	49
0.5 	duration_ms	80601

0.55 	tr_rho	1.00000000020489
0.55 	S_2	8.66064149950301
0.55 	OSEE_center	2.75169806282319
0.55 	max_bond_dim	98
0.55 	duration_ms	91725

0.6 	tr_rho	1.00000002231417
0.6 	S_2	8.67081223457935
0.6 	OSEE_center	2.75098777873757
0.6 	max_bond_dim	95
0.6 	duration_ms	147113

0.65 	tr_rho	1
0.65 	S_2	8.68097221966476
0.65 	OSEE_center	2.74979012190334
0.65 	max_bond_dim	77
0.65 	duration_ms	190397

0.7 	tr_rho	0.999999999999999
0.7 	S_2	8.69112105998508
0.7 	OSEE_center	2.74810498512822
0.7 	max_bond_dim	76
0.7 	duration_ms	222881

0.75 	tr_rho	0.999999980623197
0.75 	S_2	8.70113770017322
0.75 	OSEE_center	2.74731529023345
0.75 	max_bond_dim	84
0.75 	duration_ms	267783

0.8 	tr_rho	1
0.8 	S_2	8.71114162692433
0.8 	OSEE_center	2.74603822314336
0.8 	max_bond_dim	71
0.8 	duration_ms	323984

0.85 	tr_rho	1
0.85 	S_2	8.72102505413706
0.85 	OSEE_center	2.743487365623
0.85 	max_bond_dim	73
0.85 	duration_ms	377375

0.9 	tr_rho	0.999999920588653
0.9 	S_2	8.73089628513262
0.9 	OSEE_center	2.74045008813899
0.9 	max_bond_dim	76
0.9 	duration_ms	432894

0.95 	tr_rho	1
0.95 	S_2	8.74075491312691
0.95 	OSEE_center	2.73692694586666
0.95 	max_bond_dim	67
0.95 	duration_ms	506712

1 	tr_rho	1
1 	S_2	8.75072473108426
