#time	observable	value
0 	ideal_proj	2.09932542311049e-07

0.05 	ideal_proj	2.08545959731013e-07

0.1 	ideal_proj	2.01258940860102e-07

0.15 	ideal_proj	2.09895894623119e-07

0.2 	ideal_proj	2.04182722803391e-07

0.25 	ideal_proj	1.84221467969868e-07

0.3 	ideal_proj	1.94254191001e-07

0.35 	ideal_proj	1.99230299585665e-07

0.4 	ideal_proj	2.06573161771003e-07

0.45 	ideal_proj	2.1255776402869e-07

0.5 	ideal_proj	2.12989134615638e-07

0.55 	ideal_proj	3.97635094507049e-08

0.6 	ideal_proj	4.19977585666709e-08

0.65 	ideal_proj	4.50399795914665e-08

0.7 	ideal_proj	4.88861868289993e-08

0.75 	ideal_proj	4.88872611735283e-08

0.8 	ideal_proj	4.53066209721724e-08

0.85 	ideal_proj	4.07114910748031e-08

0.9 	ideal_proj	3.64521608028549e-08

0.95 	ideal_proj	5.73521099675103e-08

1 	ideal_proj	5.74144480459958e-08

1.05 	ideal_proj	5.70911498703008e-08

1.1 	ideal_proj	0.000173178005217279

1.15 	ideal_proj	0.000169329096965611

1.2 	ideal_proj	0.000164304202368734

1.25 	ideal_proj	0.000158216767382051

1.3 	ideal_proj	0.000151200147433995

1.35 	ideal_proj	0.000143403087588851

1.4 	ideal_proj	0.000134984959539455

1.45 	ideal_proj	0.000126110812622764

1.5 	ideal_proj	0.000116946355617014

1.55 	ideal_proj	0.000107653261582206

1.6 	ideal_proj	9.83848750289784e-05

1.65 	ideal_proj	8.92823388935298e-05

1.7 	ideal_proj	8.04715035692833e-05

1.75 	ideal_proj	7.20605918596883e-05

1.8 	ideal_proj	6.41384707789972e-05

1.85 	ideal_proj	5.6773887832981e-05

1.9 	ideal_proj	5.00154806009533e-05

1.95 	ideal_proj	4.38922476925555e-05

2 	ideal_proj	3.8414888003953e-05

2.05 	ideal_proj	3.35775851269045e-05

2.1 	ideal_proj	2.93600231123521e-05

2.15 	ideal_proj	2.57298544025302e-05

2.2 	ideal_proj	2.26452536052473e-05

2.25 	ideal_proj	2.00573990903651e-05

2.3 	ideal_proj	1.79129926757068e-05

2.35 	ideal_proj	1.61565671656512e-05

2.4 	ideal_proj	1.47325082445161e-05

2.45 	ideal_proj	1.35868432473324e-05

2.5 	ideal_proj	1.26686869002656e-05

2.55 	ideal_proj	1.19313223874054e-05

2.6 	ideal_proj	1.13329908945273e-05

2.65 	ideal_proj	1.08373515917429e-05

2.7 	ideal_proj	1.04136468412529e-05

2.75 	ideal_proj	1.00366492666618e-05

2.8 	ideal_proj	9.6863947815229e-06

2.85 	ideal_proj	9.34776475495558e-06

2.9 	ideal_proj	9.00996457870659e-06

2.95 	ideal_proj	8.66593910978308e-06

3 	ideal_proj	8.31175044860344e-06

3.05 	ideal_proj	7.945973760427e-06

3.1 	ideal_proj	7.56911594865394e-06

3.15 	ideal_proj	7.18308763490628e-06

3.2 	ideal_proj	6.79073630183067e-06

3.25 	ideal_proj	6.39544944893198e-06

3.3 	ideal_proj	6.00083082754102e-06

3.35 	ideal_proj	5.61044577673255e-06

3.4 	ideal_proj	5.22763198001306e-06

3.45 	ideal_proj	4.85536924519939e-06

3.5 	ideal_proj	4.49619865062039e-06

3.55 	ideal_proj	4.15218281475143e-06

3.6 	ideal_proj	3.82489963944006e-06

3.65 	ideal_proj	3.51545998520626e-06

3.7 	ideal_proj	3.22454246487494e-06

3.75 	ideal_proj	2.95244007372071e-06

3.8 	ideal_proj	2.69911250706875e-06

3.85 	ideal_proj	2.46424015402759e-06

3.9 	ideal_proj	2.24727779371319e-06

3.95 	ideal_proj	2.04750505540968e-06

4 	ideal_proj	1.86407234310108e-06

4.05 	ideal_proj	1.69604170836166e-06

4.1 	ideal_proj	1.54242257796095e-06

4.15 	ideal_proj	1.40220157718074e-06

4.2 	ideal_proj	1.27436756746987e-06

4.25 	ideal_proj	1.15793184457841e-06

4.3 	ideal_proj	1.05194364373681e-06

4.35 	ideal_proj	9.55502055406358e-07

4.4 	ideal_proj	8.67764412555412e-07

4.45 	ideal_proj	7.8795130233357e-07

4.5 	ideal_proj	7.15349206881662e-07

4.55 	ideal_proj	6.4931074998955e-07

4.6 	ideal_proj	5.89252755409949e-07

4.65 	ideal_proj	5.34652880790587e-07

4.7 	ideal_proj	4.85044924657586e-07

4.75 	ideal_proj	4.40013046275642e-07

4.8 	ideal_proj	3.99185570551176e-07

4.85 	ideal_proj	3.62228535156882e-07

4.9 	ideal_proj	3.2883941589231e-07

4.95 	ideal_proj	2.98741349978293e-07

5 	ideal_proj	2.71678205645676e-07

5.05 	ideal_proj	2.47410716549555e-07

5.1 	ideal_proj	2.25713779398122e-07

5.15 	ideal_proj	2.06375055844945e-07

5.2 	ideal_proj	1.89194701321976e-07

5.25 	ideal_proj	1.73986121635586e-07

5.3 	ideal_proj	1.60577438739052e-07

5.35 	ideal_proj	1.48813227498793e-07

5.4 	ideal_proj	1.38556217985092e-07

5.45 	ideal_proj	1.29688478212042e-07

5.5 	ideal_proj	1.22111593121752e-07

5.55 	ideal_proj	1.15745737947218e-07

5.6 	ideal_proj	1.10527287700606e-07

5.65 	ideal_proj	1.06404976822311e-07

