#time	quantity	value
0 	tr_rho	1
0 	S_2	2.16879277447535
0 	OSEE_center	-4.44089209850063e-16
0 	max_bond_dim	4
0 	duration_ms	5

0.05 	tr_rho	1
0.05 	S_2	2.17028678713232
0.05 	OSEE_center	0.000555313110907729
0.05 	max_bond_dim	5
0.05 	duration_ms	13

0.1 	tr_rho	1
0.1 	S_2	2.17177985824835
0.1 	OSEE_center	0.00195629035644362
0.1 	max_bond_dim	5
0.1 	duration_ms	20

0.15 	tr_rho	1.00000000000002
0.15 	S_2	2.17327212130431
0.15 	OSEE_center	0.0040525801266118
0.15 	max_bond_dim	7
0.15 	duration_ms	26

0.2 	tr_rho	1
0.2 	S_2	2.17474886589195
0.2 	OSEE_center	0.00195417991254088
0.2 	max_bond_dim	5
0.2 	duration_ms	34

0.25 	tr_rho	1
0.25 	S_2	2.17622426394507
0.25 	OSEE_center	0.000553422425149996
0.25 	max_bond_dim	5
0.25 	duration_ms	40

0.3 	tr_rho	0.999999973826388
0.3 	S_2	2.17769663647404
0.3 	OSEE_center	5.95793903102049e-09
0.3 	max_bond_dim	7
0.3 	duration_ms	47

0.35 	tr_rho	1
0.35 	S_2	2.17916805962712
0.35 	OSEE_center	0.000557213100619958
0.35 	max_bond_dim	6
0.35 	duration_ms	54

0.4 	tr_rho	1
0.4 	S_2	2.18063877146331
0.4 	OSEE_center	0.00195930740535699
0.4 	max_bond_dim	6
0.4 	duration_ms	61

0.45 	tr_rho	1.00000000000001
0.45 	S_2	2.18212327789376
0.45 	OSEE_center	0.000556489248657588
0.45 	max_bond_dim	7
0.45 	duration_ms	67

0.5 	tr_rho	1
0.5 	S_2	2.18360639216904
0.5 	OSEE_center	1.93052640540259e-09
0.5 	max_bond_dim	4
0.5 	duration_ms	75

0.55 	tr_rho	0.999999999999955
0.55 	S_2	2.1850882479568
0.55 	OSEE_center	0.000553967760763108
0.55 	max_bond_dim	6
0.55 	duration_ms	81

0.6 	tr_rho	1.00000000000898
0.6 	S_2	2.1868758173499
0.6 	OSEE_center	0.00195381937344141
0.6 	max_bond_dim	8
0.6 	duration_ms	89

0.65 	tr_rho	1
0.65 	S_2	2.18866217824565
0.65 	OSEE_center	0.00404922671815422
0.65 	max_bond_dim	6
0.65 	duration_ms	96

0.7 	tr_rho	1
0.7 	S_2	2.19044726211002
0.7 	OSEE_center	0.00675998430522018
0.7 	max_bond_dim	6
0.7 	duration_ms	103

0.75 	tr_rho	0.999999999993227
0.75 	S_2	2.19221673778575
0.75 	OSEE_center	0.0040467740758845
0.75 	max_bond_dim	7
0.75 	duration_ms	109

0.8 	tr_rho	1
0.8 	S_2	2.19398532819956
0.8 	OSEE_center	0.00195085542991258
0.8 	max_bond_dim	6
0.8 	duration_ms	116

0.85 	tr_rho	1
