#time	operator	index	value
0	X	1	0.990635156631469
0	Y	1	-0.00844288058578968
0	Z	1	-0.0043453574180604
0	X	3	0.94419491291046
0	Y	3	0.0166296306997538
0	Z	3	-0.0350244045257569
0	X	5	0.974945187568665
0	Y	5	0.00103094836231318
0	Z	5	0.000210404396057297

0.05	X	1	0.989818911605484
0.05	Y	1	-0.0184204430485165
0.05	Z	1	-0.00392472229363693
0.05	X	3	0.94381143902403
0.05	Y	3	-0.000148494756767747
0.05	Z	3	-0.0348191083731208
0.05	X	5	0.974408115182959
0.05	Y	5	-0.00671323371615466
0.05	Z	5	0.000460121852714195

0.1	X	1	0.988752849281934
0.1	Y	1	-0.0283757470702152
0.1	Z	1	-0.00350426333760728
0.1	X	3	0.942898093385342
0.1	Y	3	-0.0168964262430392
0.1	Z	3	-0.0346138529407837
0.1	X	5	0.973713934073043
0.1	Y	5	-0.01444550473161
0.1	Z	5	0.000709776937439851

0.15	X	1	0.987437757481546
0.15	Y	1	-0.0383034099977756
0.15	Z	1	-0.0030839804761884
0.15	X	3	0.941456691186688
0.15	Y	3	0.033596573828765
0.15	Z	3	0.0344086382206368
0.15	X	5	0.972863004025243
0.15	Y	5	-0.0221631682439095
0.15	Z	5	0.000959369666115513

0.2	X	1	0.986806159834151
0.2	Y	1	-0.0474067630691078
0.2	Z	1	-0.00266387363562946
0.2	X	3	0.942071980464737
0.2	Y	3	0.0168887820858186
0.2	Z	3	0.0346001623922281
0.2	X	5	0.972432391859997
0.2	Y	5	-0.029225899124782
0.2	Z	5	0.00120890005370872

0.25	X	1	0.985941170577092
0.25	Y	1	0.0564910815051975
0.25	Z	1	0.00224394274221187
0.25	X	3	0.942158260678674
0.25	Y	3	0.000176862319028857
0.25	Z	3	0.0347916485751284
0.25	X	5	0.971854815872961
0.25	Y	5	-0.0362782727568825
0.25	Z	5	0.00145836811609647

0.3	X	1	0.985599596499268
0.3	Y	1	0.0473511217984101
0.3	Z	1	0.00266181809775201
0.3	X	3	0.941434131678483
0.3	Y	3	-0.0164647086335976
0.3	Z	3	0.0349830958714744
0.3	X	5	0.971130625638612
0.3	Y	5	-0.0433177788631917
0.3	Z	5	0.00170780004764508

0.35	X	1	0.985024598708567
0.35	Y	1	0.0382190819614218
0.35	Z	1	0.00307951858004215
0.35	X	3	0.940185172115815
0.35	Y	3	-0.03306536039394
0.35	Z	3	0.0351745070152966
0.35	X	5	0.970260160525821
0.35	Y	5	-0.050341912736568
0.35	Z	5	0.00195714354431422

0.4	X	1	0.984216563412393
0.4	Y	1	0.0290999932599822
0.4	Z	1	0.00349704405337141
0.4	X	3	0.938413523729532
0.4	Y	3	0.0496077031087188
0.4	Z	3	-0.0353658792774564
0.4	X	5	0.969243809066316
0.4	Y	5	-0.0573481777763221
0.4	Z	5	0.00220642471788945

0.45	X	1	0.984378079966943
0.45	Y	1	0.019166095798002
0.45	Z	1	0.00391439466067367
0.45	X	3	0.939361277788509
0.45	Y	3	0.0330434952483978
0.45	Z	3	-0.0351605153936505
0.45	X	5	0.968407297295284
0.45	Y	5	-0.0650285519207572
0.45	Z	5	0.00245564362864497

0.5	X	1	0.984289775508206
0.5	Y	1	0.00923336541910675
0.5	Z	1	0.00433157047519112
