#time	operator	index_1	index_2	index_3	value
0	XZZ	1	3	5	-7.30027644726835e-06
0	XZZ	3	1	5	-8.63260699645713e-07
0	XZZ	5	3	1	0.000148380375019829

0.05	XZZ	1	3	5	-1.57563805253213e-05
0.05	XZZ	3	1	5	-0.000114968935102324
0.05	XZZ	5	3	1	0.000132913548433012

0.1	XZZ	1	3	5	-2.38125089308349e-05
0.1	XZZ	3	1	5	-0.000455770833835303
0.1	XZZ	5	3	1	0.000117164437365313

0.15	XZZ	1	3	5	3.12882433108765e-05
0.15	XZZ	3	1	5	-0.00102142829007868
0.15	XZZ	5	3	1	-0.000101322937377956

0.2	XZZ	1	3	5	3.98963158263314e-05
0.2	XZZ	3	1	5	-0.00045482346328204
0.2	XZZ	5	3	1	-8.81443680141624e-05

0.25	XZZ	1	3	5	4.90246324138448e-05
0.25	XZZ	3	1	5	0.000115541791221735
0.25	XZZ	5	3	1	7.50868764009222e-05

0.3	XZZ	1	3	5	5.69375289894661e-05
0.3	XZZ	3	1	5	4.46685141442885e-06
0.3	XZZ	5	3	1	9.04324398614097e-05

0.35	XZZ	1	3	5	6.51513719489604e-05
0.35	XZZ	3	1	5	-0.000329792850353038
0.35	XZZ	5	3	1	0.000106625579494772

0.4	XZZ	1	3	5	-7.38349598829106e-05
0.4	XZZ	3	1	5	-0.000885199470175459
0.4	XZZ	5	3	1	-0.000123837625613095

0.45	XZZ	1	3	5	-8.33775188726043e-05
0.45	XZZ	3	1	5	-0.000324679069708627
0.45	XZZ	5	3	1	-0.000135785068176208

0.5	XZZ	1	3	5	-9.25061486174774e-05
0.5	XZZ	3	1	5	1.18208805318449e-05
0.5	XZZ	5	3	1	-0.000146480315069244

0.55	XZZ	1	3	5	0.00290649048446672
0.55	XZZ	3	1	5	0.00277650751966747
0.55	XZZ	5	3	1	0.000155740711156312

0.6	XZZ	1	3	5	0.00314810772808773
0.6	XZZ	3	1	5	0.00333357553805693
0.6	XZZ	5	3	1	0.000136890085133263

0.65	XZZ	1	3	5	0.00338827773210513
0.65	XZZ	3	1	5	0.00421251929633296
0.65	XZZ	5	3	1	0.000118454017868414

0.7	XZZ	1	3	5	-0.00362681911008958
0.7	XZZ	3	1	5	0.0054107210498211
0.7	XZZ	5	3	1	-0.000100619116174103

0.75	XZZ	1	3	5	-0.00386838971163156
0.75	XZZ	3	1	5	0.00466903143145055
0.75	XZZ	5	3	1	-9.13547008780299e-05

0.8	XZZ	1	3	5	0.00410863676253831
0.8	XZZ	3	1	5	-0.00425119906681664
0.8	XZZ	5	3	1	-8.16725269952343e-05

0.85	XZZ	1	3	5	0.00385905679466295
0.85	XZZ	3	1	5	-0.00369040549847736
0.85	XZZ	5	3	1	-6.70864024532469e-05

0.9	XZZ	1	3	5	0.00360921094280005
0.9	XZZ	3	1	5	-0.00280416779351145
0.9	XZZ	5	3	1	-5.33699111362036e-05

0.95	XZZ	1	3	5	-0.00335927522542657
0.95	XZZ	3	1	5	-0.00159460702046815
0.95	XZZ	5	3	1	4.03476178220668e-05

1	XZZ	1	3	5	-0.00311009164248115
1	XZZ	3	1	5	-0.00233292581331077
1	XZZ	5	3	1	2.91501116505817e-05

1.05	XZZ	1	3	5	-0.00286101375550824
1.05	XZZ	3	1	5	-0.00274437790632437
1.05	XZZ	5	3	1	1.70077602910288e-05

1.1	XZZ	1	3	5	0.00261222797083724
1.1	XZZ	3	1	5	0.930356515632482
1.1	XZZ	5	3	1	-0.000124444617510518

1.15	XZZ	1	3	5	0.00284708812736754
1.15	XZZ	3	1	5	0.928316056545786
1.15	XZZ	5	3	1	0.00027791588825788

1.2	XZZ	1	3	5	0.00307999766272875
1.2	XZZ	3	1	5	0.925760123905913
1.2	XZZ	5	3	1	0.000678722119834411

1.25	XZZ	1	3	5	0.00331078258073061
1.25	XZZ	3	1	5	0.922692629379622
1.25	XZZ	5	3	1	0.0010777838207729

1.3	XZZ	1	3	5	0.00353927088036995
1.3	XZZ	3	1	5	0.919118095856182
1.3	XZZ	5	3	1	0.00147491209863404

1.35	XZZ	1	3	5	0.00376529269753533
1.35	XZZ	3	1	5	0.915041649656041
1.35	XZZ	5	3	1	0.00186991951990698

1.4	XZZ	1	3	5	0.00398868042636212
1.4	XZZ	3	1	5	0.910469011852322
1.4	XZZ	5	3	1	0.00226262020409022

1.45	XZZ	1	3	5	0.00420926886620592
1.45	XZZ	3	1	5	0.905406488683583
1.45	XZZ	5	3	1	0.00265282991672114

1.5	XZZ	1	3	5	0.00442689533887039
1.5	XZZ	3	1	5	0.899860961236913
1.5	XZZ	5	3	1	0.00304036616175675

1.55	XZZ	1	3	5	0.00464139982321683
1.55	XZZ	3	1	5	0.893839874229521
1.55	XZZ	5	3	1	0.00342504827221092

1.6	XZZ	1	3	5	0.0048526250723538
1.6	XZZ	3	1	5	0.887351223827893
1.6	XZZ	5	3	1	0.00380669750038441

1.65	XZZ	1	3	5	0.00506041674245085
1.65	XZZ	3	1	5	0.880403545095521
1.65	XZZ	5	3	1	0.00418513710720732

1.7	XZZ	1	3	5	0.00526462351077955
1.7	XZZ	3	1	5	0.873005898246696
1.7	XZZ	5	3	1	0.00456019244957403

1.75	XZZ	1	3	5	0.00546509719471603
1.75	XZZ	3	1	5	0.865167854371632
1.75	XZZ	5	3	1	0.00493169106710364

1.8	XZZ	1	3	5	0.00566169286709733
1.8	XZZ	3	1	5	0.856899480399367
1.8	XZZ	5	3	1	0.00529946276755393

1.85	XZZ	1	3	5	0.005854268969093
1.85	XZZ	3	1	5	0.848211323366237
1.85	XZZ	5	3	1	0.00566333971098162

1.9	XZZ	1	3	5	0.00604268742143672
1.9	XZZ	3	1	5	0.839114394015842
1.9	XZZ	5	3	1	0.00602315649260204

1.95	XZZ	1	3	5	0.00622681373193428
1.95	XZZ	3	1	5	0.829620149757335
1.95	XZZ	5	3	1	0.0063787502243375

2	XZZ	1	3	5	0.00640651710081441
2	XZZ	3	1	5	0.819740477009795
2	XZZ	5	3	1	0.00672996061499674

2.05	XZZ	1	3	5	0.00658167052308208
2.05	XZZ	3	1	5	0.809487672961495
2.05	XZZ	5	3	1	0.00707663004906966

2.1	XZZ	1	3	5	0.00675215088810641
2.1	XZZ	3	1	5	0.798874426773433
2.1	XZZ	5	3	1	0.0074186036640865

2.15	XZZ	1	3	5	0.00691783907624015
2.15	XZZ	3	1	5	0.787913800257585
2.15	XZZ	5	3	1	0.00775572942652275

2.2	XZZ	1	3	5	0.00707862005243074
